File,N,ANSWER,TIME
result_test1.txt,10,8,0.12433123588562012
result_test2.txt,15,15,0.10240054130554199
result_test3.txt,20,13,0.10400724411010742
result_test4.txt,25,25,0.11910009384155273
result_test5.txt,30,29,0.10772395133972168
result_test6.txt,35,34,0.11614823341369629
result_test7.txt,40,37,0.1550140380859375
result_test8.txt,45,44,0.22493553161621094
result_test9.txt,50,49,0.29241204261779785
result_test10.txt,55,55,0.20355772972106934
result_test11.txt,60,52,0.13204145431518555
result_test12.txt,65,38,0.10738229751586914
result_test13.txt,70,70,0.6496953964233398
result_test14.txt,75,52,0.13409090042114258
result_test15.txt,80,80,0.7922322750091553
result_test16.txt,85,78,0.22904729843139648
result_test17.txt,90,87,0.818934440612793
result_test18.txt,95,94,1.2207415103912354
result_test19.txt,100,98,1.0691580772399902
result_test20.txt,120,119,2.028162956237793
result_test21.txt,140,138,2.4279184341430664
result_test22.txt,160,159,1.9296581745147705
result_test23.txt,180,177,3.5744402408599854
result_test24.txt,200,185,1.2448792457580566
result_test25.txt,300,300,5.804744243621826
result_test26.txt,400,398,18.188732624053955
result_test27.txt,500,489,17.139328956604004
result_test28.txt,600,590,51.753039836883545
result_test29.txt,700,700,58.0720329284668
result_test30.txt,800,754,44.645816802978516
result_test31.txt,900,882,57.95117211341858
result_test32.txt,1000,995,107.67184209823608
