Data from Simulated Annealing testing,,,,,,,,,,
,,,,,,,,,,
Test,Cost (scheduled classes),,,Running time (miliseconds),,,Cost(avg),Time(avg),Size,Room
,1st attempt,2nd attempt,3rd attempt,1st attempt,2nd attempt,3rd attempt,,,,
1,8,8,8,0.21,0.38,0.19,8,0.26,10,4
2,8,8,8,0.22,0.29,0.21,8,0.24,15,7
3,20,20,20,0.39,0.41,0.59,20,0.46,20,6
4,20,20,20,0.62,0.7,0.78,20,0.7,25,6
5,29,29,29,0.9,0.39,0.3,29,0.53,30,6
6,32,32,32,0.4,0.75,0.89,32,0.68,35,7
7,20,20,20,0.78,0.6,0.49,20,0.62,40,5
8,37,37,37,0.99,0.89,1,37,0.93,45,4
9,46,46,46,0.39,1,0.5,46,0.63,50,8
10,33,33,33,0.69,0.9,0.79,33,0.79,55,7
11,39,42,41,1.19,1.6,1.29,41,1.36,60,2
12,65,65,65,1.2,1.19,0.69,65,1.02,65,13
13,67,66,67,1.49,1.09,1.59,67,1.39,70,6
14,73,74,71,1.3,1.65,1.7,73,1.55,75,16
15,72,72,72,0.59,1.36,1.29,72,1.08,80,21
16,62,62,62,0.89,1.54,1.95,62,1.46,85,3
17,52,52,52,0.7,0.99,1.25,52,0.98,90,4
18,95,95,95,1.39,2.28,1.45,95,1.71,95,39
19,91,90,91,1.69,1.71,1.65,90,1.68,100,8
20,149,149,149,1.4,2.19,1.69,149,1.76,150,65
21,200,198,199,2.22,1.7,3.19,199,2.37,200,21
22,240,240,240,3.5,3.05,2.16,240,2.9,250,69
23,294,293,294,3.1,3.29,3.1,294,3.16,300,22
24,347,349,347,2.79,3.59,4.32,348,3.56,350,91
25,395,395,397,3.28,3.78,3.67,396,3.57,400,69
26,478,484,480,4.26,4.11,4.61,481,4.33,500,62
27,522,515,517,6.92,5.53,7.75,518,6.73,600,32
28,686,680,680,6.26,5.75,6.19,683,6.07,700,69
29,764,766,764,7.83,6.25,7.39,765,7.16,800,72
30,838,841,835,7.05,6.83,8.83,838,7.57,900,95
31,879,868,876,8.77,8.02,8.79,874,8.53,1000,57
